address,trades,buys,sells,win_rate,profitable_exits,total_exits,net_pnl_usdc,gross_in_usdc,gross_out_usdc,trades_per_day,active_days,strategy,ev_score,pvalue,alpha_decay,median_hold_secs,mean_hold_secs,cluster
0x78e78928ac141cb0ffa9208033077d8a7a74ffdb,30,15,15,60.0,9,15,278.94,409.02,687.96,2.1,14,swing,0.701,0.3028,1.094,2747,3028,developing
0x134e7b18d8fe50c20bddf311f12000524e2db99c,140,70,70,51.4,36,70,1136.26,1794.65,2930.91,10.0,14,scalper,0.6827,0.4524,1.4,4222,3849,developing
0x8cf4cba106b485df6f0de2b8f38ea41f7f2cde05,108,54,54,50.0,27,54,765.79,1352.03,2117.82,12.0,9,scalper,0.644,0.5541,1.077,4077,4152,developing
0xa19dd8a581a946b7ffd1145bd9a908360ae19052,62,31,31,51.6,16,31,467.64,771.77,1239.4,6.9,9,swing,0.6402,0.5,0.729,2958,3297,developing
0x9bcfbe07fae17389034ec2c2920d33fd4f8a3fbf,102,51,51,51.0,26,51,786.09,1243.17,2029.26,14.6,7,scalper,0.6286,0.5,1.122,3280,3389,developing
0xabf31d55d2e71e91dcbaf0fa495ab8164bec82b4,128,64,64,50.0,32,64,983.54,1626.63,2610.17,9.8,13,swing,0.6285,0.5497,1.133,4133,3958,developing
0x78c55b75652aeba562b44f5f9ca2b4620506df61,160,80,80,51.2,41,80,1219.64,2010.92,3230.55,13.3,12,scalper,0.6221,0.4555,1.278,3042,3348,developing
0xbfbe1964d5f58cc0b1519338688bef9a95c1f7cb,38,19,19,52.6,10,19,314.79,479.95,794.73,2.7,14,swing,0.621,0.5,2.1,4325,4238,developing
0xf878cf6351af3c3e8602e2987b2a13a327a0a909,52,26,26,53.8,14,26,423.67,702.04,1125.71,6.5,8,swing,0.6137,0.4223,1.0,3562,3567,developing
0xd1eb4602ac3b68d326f6d2cd531249d4e28beef1,132,66,66,48.5,32,66,878.33,1720.25,2598.59,12.0,11,scalper,0.5908,0.644,1.0,3473,3588,developing
0xac886f424454154931386bc61bc6a4edcf38bc62,164,82,82,47.6,39,82,1162.87,2021.95,3184.82,8.2,20,swing,0.5889,0.7096,1.6,3696,3732,developing
0x7aa2054cb98a272e0d1a56d00e81ff162592b02d,84,42,42,50.0,21,42,662.6,1030.65,1693.26,7.0,12,swing,0.5675,0.5613,0.75,4165,3937,developing
0xb3390cc0a8aff6dcf0f329df5d0f4810098dd6d3,224,112,112,47.3,53,112,1472.81,2837.73,4310.54,10.7,21,scalper,0.5445,0.7458,0.893,3625,3711,developing
0x471510414b092cb3db16be24cf11c56ebadbca90,162,81,81,43.2,35,81,871.88,1993.6,2865.48,10.1,16,scalper,0.4937,0.9088,1.159,4181,3924,developing
0x74e71b131ad93dd54afeeb396a73e055f19f9e67,78,39,39,46.2,18,39,406.59,1003.02,1409.61,4.6,17,swing,0.4745,0.7391,0.76,3751,4028,developing
0x7a6e0fbcc3da2d7b1a0110933dc63b8545720730,26,13,13,46.2,6,13,148.57,337.58,486.16,2.6,10,swing,0.4644,0.7105,0.857,4112,3899,developing
0xa6b1b592545b7f939828058af9074be1c4276446,136,68,68,45.6,31,68,770.21,1806.04,2576.25,9.7,14,swing,0.452,0.802,1.067,3680,3735,developing
0x57676a4a0452b4cf4eca07a4344c56af40fdc832,186,93,93,43.0,40,93,893.07,2317.75,3210.81,16.9,11,scalper,0.4311,0.9267,0.979,3379,3594,developing
0x82b4f3c2fd1a38d2311722b455d4ae942a26dc45,192,96,96,42.7,41,96,873.23,2383.57,3256.8,17.5,11,scalper,0.4239,0.9371,0.952,3542,3455,developing
0xf0b7f6e2f625a0601234c6deef9ae8288212bca6,132,66,66,39.4,26,66,565.53,1592.76,2158.3,16.5,8,scalper,0.419,0.9676,0.857,3988,3901,developing
0x0b27ac77065d8c62dd6187c989600fd4e81d9ea1,148,74,74,41.9,31,74,720.02,1844.39,2564.41,12.3,12,scalper,0.3949,0.9346,1.214,3567,3603,developing
0xe472f2a9b666154c7105f07c1ced2e3cc8ccc4f9,112,56,56,39.3,22,56,423.21,1410.03,1833.24,12.4,9,scalper,0.3792,0.9588,1.2,3861,3725,developing
0x89dee5f6418249cc1048dce9a453899663d9bc41,188,94,94,39.4,37,94,776.19,2361.08,3137.28,26.9,7,scalper,0.3616,0.9848,0.947,3571,3628,developing
0x5f34634d71d3c0a99fb571a61ac1ba1b10ce7f9e,88,44,44,40.9,18,44,410.47,1143.99,1554.46,4.4,20,swing,0.3576,0.9126,2.0,4491,4059,developing
0xc53d17892a8d0f2d8d251c8331387b1dfbbd171c,42,21,21,38.1,8,21,111.96,543.3,655.26,3.0,14,swing,0.3386,0.9048,0.545,3858,4268,fading
0x8cbd4f9bce45b9c5f0b50a035221d121e8df7664,138,69,69,40.6,28,69,530.46,1780.89,2311.35,8.1,17,swing,0.337,0.954,1.121,3420,3550,developing
0x3ef0dba0d6c8cb5afee1ad40b9f419da1526c783,168,84,84,39.3,33,84,657.31,2103.21,2760.52,8.4,20,swing,0.3243,0.9809,0.941,3735,3813,developing
0x36369a452d4e1066cd84b7450b03999acff65262,82,41,41,36.6,15,41,262.2,968.31,1230.51,5.1,16,swing,0.3093,0.9695,0.833,4132,3695,developing
0x0908f4fae0b896faba8d9928296c9583fd637a7f,134,67,67,38.8,26,67,491.21,1658.74,2149.95,11.2,12,scalper,0.3006,0.9747,0.607,3202,3398,fading
0x74a37f15a12df53f599aefbdca634eb1e4b74396,118,59,59,37.3,22,59,309.25,1497.11,1806.37,7.9,15,swing,0.2795,0.9814,0.967,3806,3940,developing
0x9e7be8bbd02fb4b257328a5af041a673cc7d35f3,208,104,104,38.5,40,104,570.87,2654.48,3225.35,13.0,16,scalper,0.279,0.9929,1.5,3757,3865,developing
0xd8114ee577e758082d7f64fd0fde9bb50bf1b76b,48,24,24,37.5,9,24,85.93,626.49,712.42,4.0,12,swing,0.2771,0.9235,2.0,2891,3131,developing
0x52a1850806116d13af96f0d4214d29a58103a659,206,103,103,34.0,35,103,542.1,2500.06,3042.16,29.4,7,scalper,0.2211,0.9996,1.038,4178,3921,developing
0x590fdf43030b5dc5250a32e6ffa323b840561346,176,88,88,36.4,32,88,517.82,2240.17,2757.99,13.5,13,scalper,0.2076,0.9962,0.778,3272,3751,developing
0x1cf6f69e302071146e0aeb2250fccaf6056c0d50,166,83,83,34.9,29,83,422.8,2138.72,2561.52,11.9,14,scalper,0.1974,0.9978,0.911,3879,3840,developing
0xe2f37e582ff2178c59231899e457f446b42b9903,90,45,45,33.3,15,45,237.15,1083.19,1320.34,8.2,11,swing,0.1887,0.9915,1.093,3726,3618,developing
0x2ba73cc8830591c330fbe90571f52d1e785720d3,168,84,84,32.1,27,84,275.73,2123.16,2398.89,15.3,11,scalper,0.165,0.9996,0.929,3969,3920,developing
0xa043bae1603803a839c0cb52f511d9cb8f68d9d9,146,73,73,34.2,25,73,282.12,1822.23,2104.35,8.1,18,swing,0.1629,0.9975,0.898,3421,3543,developing
0xf20f21a5e3f59eaeb0e943d9fcf9b94f4cfa2da2,182,91,91,33.0,30,91,387.76,2277.84,2665.61,11.4,16,scalper,0.1625,0.9996,1.279,4424,4140,developing
0x16374d8be772c152b788df5ebbf357443efec646,102,51,51,33.3,17,51,147.76,1296.35,1444.11,6.0,17,swing,0.1594,0.9941,1.374,3336,3674,developing
0x752d08e18906b7b2318e9c6b14ab61434c3ee067,42,21,21,33.3,7,21,52.35,540.28,592.63,5.2,8,swing,0.1263,0.9596,0.682,2383,3338,fading
0x6ed3da0f44691ad8c9d2571fa1963271982e02d3,68,34,34,29.4,10,34,65.4,894.58,959.98,4.0,17,swing,0.0854,0.995,1.5,3480,3823,developing
0x19f585ba9fb56ab3c7c1506453da572fe92f3066,158,79,79,31.6,25,79,119.86,2023.46,2143.32,15.8,10,scalper,0.0772,0.9996,0.766,3863,3647,developing
0xe287f6796eeb0f8988e42f447e60430eb23fb79f,202,101,101,29.7,30,101,56.95,2548.96,2605.91,13.5,15,scalper,0.0667,1.0,0.75,3713,3665,developing
0x1baf44ba4a6c13e54ca28a2a1513f6f79da19a21,112,56,56,28.6,16,56,32.99,1451.6,1484.58,5.6,20,swing,0.0201,0.9996,1.286,3744,3815,developing
0x016a213c2ba2876f10f6355f3398fd53df0bda3c,44,22,22,27.3,6,22,-70.88,561.49,490.61,6.3,7,swing,0.0071,0.9905,0.5,4118,3779,fading
0x129227636d23031f5f2e8ba43a20ca48e416250c,124,62,62,27.4,17,62,-113.39,1628.27,1514.88,7.8,16,swing,-0.0301,0.9999,0.889,4057,3990,noise
0x161c800b2ba8d9963266c46f9abe3c149573469b,68,34,34,20.6,7,34,-139.41,866.4,727.0,9.7,7,swing,-0.1598,0.9998,6.0,3630,3463,noise
